Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
Axis Bank,Financial,45.74,7.29,0.00,6.79
Bandhan Bank,Financial,30.83,7.97,0.00,5.95
Kotak Mahindra Bank,Financial,37.73,5.94,0.00,5.94
Indusind Bank,Financial,22.01,7.50,1.90,4.84
Bajaj Finserv,Financial,34.76,4.58,1.68,4.58
ICICI Lombard General Insurance,Financial,55.14,4.52,0.00,4.52
State Bank of India,Financial,30.54,9.82,0.00,4.06
HDFC,Financial,34.47,3.54,0.00,3.54
DCB Bank,Financial,15.91,4.59,0.00,3.06
SBI Life Insurance Company,Financial,80.40,2.70,0.00,2.70
L&T Finance Holdings,Financial,9.54,6.89,2.66,2.66
Repco Home Finance Ltd.,Financial,7.54,5.55,1.53,1.98
HDFC Life Insurance,Financial,93.40,1.66,0.00,1.66
Bank of Baroda,Financial,57.22,5.00,0.00,1.63
PNB Housing Finance,Financial,6.37,5.28,0.61,1.39
Equitas Holdings,Financial,343.68,4.99,0.98,1.33
Max Financial Services,Financial,78.27,2.46,0.00,1.26
Cholamandalam Invest. & Fin.,Financial,18.60,5.60,1.10,1.10
JM Financial,Financial,11.20,1.57,0.00,0.68
LIC Housing Fin.,Financial,7.07,1.54,0.00,0.66
Indostar Capital Finance,Financial,6.61,0.83,0.00,0.42
ICRA,Financial,25.26,1.31,0.39,0.39
10. Aditya Birla Sun Life Banking & Financial Services Fund - Regular Plan
HDFC Bank,Financial,29.02,19.13,8.05,17.28
ICICI Bank,Financial,54.53,15.40,7.32,11.94
Bajaj Finance,Financial,47.90,10.99,5.38,7.80
Axis Bank,Financial,45.74,7.29,0.00,6.79
Bandhan Bank,Financial,30.83,7.97,0.00,5.95
Kotak Mahindra Bank,Financial,37.73,5.94,0.00,5.94
Indusind Bank,Financial,22.01,7.50,1.90,4.84
Bajaj Finserv,Financial,34.76,4.58,1.68,4.58
ICICI Lombard General Insurance,Financial,55.14,4.52,0.00,4.52
State Bank of India,Financial,30.54,9.82,0.00,4.06
HDFC,Financial,34.47,3.54,0.00,3.54
DCB Bank,Financial,15.91,4.59,0.00,3.06
SBI Life Insurance Company,Financial,80.40,2.70,0.00,2.70
L&T Finance Holdings,Financial,9.54,6.89,2.66,2.66
Repco Home Finance Ltd.,Financial,7.54,5.55,1.53,1.98
HDFC Life Insurance,Financial,93.40,1.66,0.00,1.66
Bank of Baroda,Financial,57.22,5.00,0.00,1.63
PNB Housing Finance,Financial,6.37,5.28,0.61,1.39
Equitas Holdings,Financial,343.68,4.99,0.98,1.33
Max Financial Services,Financial,78.27,2.46,0.00,1.26
Cholamandalam Invest. & Fin.,Financial,18.60,5.60,1.10,1.10
JM Financial,Financial,11.20,1.57,0.00,0.68
LIC Housing Fin.,Financial,7.07,1.54,0.00,0.66
Indostar Capital Finance,Financial,6.61,0.83,0.00,0.42
ICRA,Financial,25.26,1.31,0.39,0.39
11. Aditya Birla Sun Life Commodity Equities Fund - Global Agri Plan
Tyson Foods,FMCG,-,-,-,7.99
Bunge Ltd. (US),FMCG,-,-,-,7.87
Nutrien,Chemicals,-,-,-,7.52
Archer Daniels Midland (Chicago),FMCG,-,-,-,7.51
CF Industries Holdings Inc(US),FMCG,-,-,-,7.18
Associated British Foods Ltd.,FMCG,-,-,-,7.17
BRF Brasil Foods SA,FMCG,-,-,-,6.15
Deere & Company (USA),Engineering,-,-,-,5.61
Kubota Corp (Foreign),Engineering,-,-,-,5.59
Marine Harvest ASA,FMCG,-,-,-,4.63
