Company,Sector,PE,3Y High,3Y Low,% Assets
1. Aditya Birla Sun Life Arbitrage Fund
HCL Technologies,Technology,14.98,3.79,1.72,2.97
Sun TV Network,Services,14.92,3.06,0.00,2.73
Indusind Bank,Financial,22.19,3.47,0.00,2.58
Grasim Industries,Construction,25.90,3.24,0.97,2.55
Kotak Mahindra Bank,Financial,37.46,3.72,0.00,2.47
Sun Pharmaceutical Inds.,Healthcare,31.92,2.96,0.00,2.36
ICICI Lombard General Insurance,Financial,54.96,2.24,0.00,2.24
Dabur India,FMCG,56.48,3.38,0.00,2.17
Bharti Airtel,Communication,0.00,2.09,0.00,2.09
SBI Life Insurance Company,Financial,80.59,3.58,0.00,2.05
M&M Financial Services,Financial,16.78,3.11,0.00,1.85
Tech Mahindra,Technology,16.09,2.72,0.71,1.82
NMDC,Metals,6.77,2.83,0.00,1.64
18. Aditya Birla Sun Life Frontline Equity Fund
HDFC Bank,Financial,29.04,10.49,4.33,10.29
ICICI Bank,Financial,54.60,8.69,3.59,8.44
Infosys,Technology,17.88,6.13,3.59,5.89
Reliance Industries,Energy,21.03,4.87,1.06,4.87
Larsen & Toubro,Construction,21.91,4.35,1.88,4.35
ITC,FMCG,24.06,5.04,3.31,3.84
HDFC,Financial,34.78,4.32,1.86,3.83
State Bank of India,Financial,30.54,4.47,1.50,3.37
Axis Bank,Financial,45.35,2.61,0.37,2.61
HCL Technologies,Technology,14.98,2.59,1.81,2.34
NTPC,Energy,10.18,2.49,1.24,2.34
Indusind Bank,Financial,22.19,2.66,1.65,1.98
Kotak Mahindra Bank,Financial,37.46,2.82,1.11,1.92
Tech Mahindra,Technology,16.09,2.35,1.03,1.78
ACC,Construction,15.59,1.63,0.11,1.63
Bajaj Finance,Financial,47.42,2.57,1.12,1.62
Bharti Airtel,Communication,0.00,1.83,0.00,1.51
Crompton Greaves Consumer Electricals,Cons Durable,39.07,1.96,1.23,1.47
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.82,1.45,0.00,1.45
Indian Oil Corp.,Energy,9.70,2.57,0.58,1.26
Dabur India,FMCG,56.48,1.30,0.00,1.26
Sanofi India,Healthcare,36.34,1.50,0.76,1.26
Hindalco Inds.,Metals,51.04,2.51,0.11,1.20
Hindustan Unilever,FMCG,70.14,1.68,1.13,1.15
Coal India,Energy,7.03,1.32,0.00,1.13
19. Aditya Birla Sun Life Global Emerging Opportunities Fund
Julius Baer Equity Next Generation,-,-,-,-,97.51
20. Aditya Birla Sun Life Global Real Estate Fund - Retail Plan
ING Global Real Estate,-,-,-,-,97.20
21. Aditya Birla Sun Life Index Fund
HDFC Bank,Financial,29.04,9.70,5.76,9.31
Reliance Industries,Energy,21.03,9.30,3.98,8.02
HDFC,Financial,34.78,7.05,4.86,5.98
Infosys,Technology,17.88,5.82,3.58,5.38
ICICI Bank,Financial,54.60,5.29,3.35,4.92
ITC,FMCG,24.06,5.46,3.92,3.92
Tata Consultancy Services,Technology,24.03,4.63,2.49,3.88
Kotak Mahindra Bank,Financial,37.46,3.92,1.83,3.86
Larsen & Toubro,Construction,21.91,3.63,2.73,3.20
Hindustan Unilever,FMCG,70.14,2.54,1.39,2.49
Axis Bank,Financial,45.35,2.67,1.70,2.46
State Bank of India,Financial,30.54,2.73,1.83,1.83
Bajaj Finance,Financial,47.42,1.69,0.00,1.69
Maruti Suzuki India,Automobile,32.29,2.62,1.40,1.57
Asian Paints,Chemicals,65.48,1.40,0.96,1.40
Indusind Bank,Financial,22.19,2.10,1.25,1.25
Bharti Airtel,Communication,0.00,1.39,0.76,1.22
Nestle India,FMCG,85.53,1.05,0.00,1.05
HCL Technologies,Technology,14.98,1.30,0.94,1.03
Titan Company,Cons Durable,83.39,1.04,0.00,0.93
Bajaj Finserv,Financial,34.38,0.96,0.00,0.90
NTPC,Energy,10.18,1.14,0.78,0.90
Mahindra & Mahindra,Automobile,12.49,1.81,0.90,0.90
Power Grid Corporation,Energy,7.05,1.10,0.75,0.82
Ultratech Cement,Construction,38.20,0.97,0.69,0.80
22. Aditya Birla Sun Life India GenNext Fund
ICICI Bank,Financial,54.60,7.18,0.00,6.52
HDFC Bank,Financial,29.04,7.74,4.83,6.49
ITC,FMCG,24.06,5.66,3.00,5.34
HDFC,Financial,34.78,4.74,2.19,2.99
Colgate-Palmolive,FMCG,56.20,2.91,0.00,2.91
Kotak Mahindra Bank,Financial,37.46,3.31,2.48,2.79
Axis Bank,Financial,45.35,2.47,0.00,2.47
Britannia Inds.,FMCG,68.77,2.75,1.83,2.47
Whirlpool,Cons Durable,62.92,2.51,1.51,2.31
Bajaj Finserv,Financial,34.38,2.20,0.00,2.20
Asian Paints,Chemicals,65.48,2.51,0.44,1.85
Bajaj Finance,Financial,47.42,2.33,0.93,1.70
Marico,FMCG,43.43,2.13,0.00,1.69
Voltas,Cons Durable,47.85,1.99,1.33,1.66
Nestle India,FMCG,85.53,2.71,0.99,1.63
Apollo Hospitals,Healthcare,65.45,2.57,0.00,1.63
United Spirits,FMCG,58.14,2.42,1.05,1.61
ICICI Prudential Life Insurance Co. Ltd.,Financial,60.82,2.40,1.16,1.61
Century Textiles & Inds.,Diversified,10.55,3.88,1.45,1.52
Sun Pharmaceutical Inds.,Healthcare,31.92,2.32,0.00,1.50
Tata Global Beverages,FMCG,42.19,1.46,0.00,1.46
ACC,Construction,15.59,2.07,0.78,1.42
Titan Company,Cons Durable,83.39,2.17,0.55,1.42
Maruti Suzuki India,Automobile,32.29,5.14,1.41,1.41
Indusind Bank,Financial,22.19,3.96,1.06,1.39
23. Aditya Birla Sun Life Infrastructure Fund
Honeywell Automation,Engineering,66.64,7.79,3.34,7.07
Larsen & Toubro,Construction,21.91,5.13,0.00,5.13
Bharat Electronics,Engineering,14.22,5.09,0.00,5.09
NTPC,Energy,10.18,4.70,0.00,4.32
Coal India,Energy,7.03,4.23,0.00,4.23
PNC Infratech,Services,13.71,4.41,0.00,4.22
Ultratech Cement,Construction,38.20,4.04,0.00,4.04
Carborundum Universal,Metals,24.23,5.18,1.35,3.55
NCC,Construction,6.12,3.10,0.00,3.10
HDFC Bank,Financial,29.04,5.57,0.65,3.09
Grasim Industries,Construction,25.90,3.17,0.00,2.74
Orient Refractories Ltd.,Construction,29.93,2.76,1.58,2.73
Indraprastha Gas,Energy,30.85,4.42,2.32,2.71
KEC International,Engineering,14.03,2.83,1.17,2.54
Engineers India,Construction,16.86,2.46,0.00,2.46
Dalmia Bharat,Construction,36.35,2.86,0.00,2.30
HG Infra Engineering,Construction,9.43,2.35,0.00,2.29
Hindalco Inds.,Metals,51.04,4.04,0.00,2.23
Mahanagar Gas,Energy,15.97,2.71,1.66,2.09
Wabco India,Automobile,44.18,3.68,1.58,2.03
NMDC,Metals,6.77,2.63,0.00,1.94
Century Textiles & Inds.,Diversified,10.55,1.93,0.00,1.93
KNR Constructions,Construction,13.59,2.21,0.00,1.93
Ashoka Buildcon,Construction,10.52,2.99,1.55,1.89
Greaves Cotton,Engineering,19.42,2.56,1.20,1.73
24. Aditya Birla Sun Life International Equity Fund - Plan A
Mc DonaldS Corporation (US),Services,-,-,-,3.48
Enbridge Inc,Services,-,-,-,3.27
Western Union (US),Financial,-,-,-,3.06
