Company,Sector,PE,3Y High,3Y Low,% Assets
1. HDFC Small Cap Fund - Direct Plan
Supreme Industries,Chemicals,38.21,1.42,0.79,1.42
JK Lakshmi Cement,Construction,32.22,1.56,0.00,1.40
City Union Bank,Financial,21.80,1.58,0.72,1.35
Ultratech Cement,Construction,38.23,2.18,0.00,1.34
HCL Technologies,Technology,14.95,1.82,0.80,1.33
SBI Life Insurance Company,Financial,81.79,1.32,0.00,1.30
Federal Bank,Financial,11.02,1.25,0.00,1.25
Tech Mahindra,Technology,16.17,1.26,0.00,1.21
DLF,Construction,27.76,1.39,0.00,1.20
ITC,FMCG,24.04,2.36,0.00,1.20
Torrent Pharmaceuticals,Healthcare,58.21,1.30,0.00,1.15
13. HSBC Global Consumer Opportunities Fund - Direct Plan
HSBC GIF China Consumer Opportunities,-,-,-,-,98.17
14. HSBC Global Consumer Opportunities Fund - Regular Plan
HSBC GIF China Consumer Opportunities,-,-,-,-,98.17
15. HSBC Global Emerging Markets Fund
HSBC GIF Global Emerging Markets Equity,-,-,-,-,98.37
16. HSBC Global Emerging Markets Fund - Direct Plan
HSBC GIF Global Emerging Markets Equity,-,-,-,-,98.37
17. HSBC Infrastructure Equity Fund
Larsen & Toubro,Construction,21.90,9.94,1.07,9.94
Adani Ports and Special Economic Zone,Services,18.69,7.77,3.62,7.77
Kei Industries,Engineering,21.85,8.99,2.36,6.86
NTPC,Energy,10.16,7.22,0.00,6.60
Reliance Industries,Energy,21.20,5.01,0.00,5.01
Deccan Cements,Construction,8.49,7.48,3.22,3.22
Srikalahasthi Pipes,Metals,6.12,8.12,0.00,3.07
Schaeffler India,Engineering,32.10,3.88,1.74,2.89
NCC,Construction,6.00,4.69,0.00,2.85
DLF,Construction,27.76,2.90,0.00,2.80
ACC,Construction,15.67,2.71,0.00,2.71
APL Apollo Tubes,Metals,21.91,2.75,0.00,2.68
HPCL,Energy,9.29,8.98,2.65,2.65
Gujarat Gas,Chemicals,23.47,2.59,0.00,2.59
Ultratech Cement,Construction,38.23,2.44,0.00,2.44
Sadbhav Engineering,Construction,14.59,3.65,0.00,2.44
KNR Constructions,Construction,13.59,3.73,2.19,2.26
Jindal Steel & Power,Metals,0.00,3.30,0.00,2.21
Sanghvi Movers,Construction,0.00,5.42,2.08,2.08
Carborundum Universal,Metals,24.30,2.14,0.00,2.07
Macpower CNC Machines,Engineering,7.76,2.56,0.00,1.92
Vedanta,Metals,7.91,2.14,0.00,1.91
Ahluwalia Contracts,Construction,18.17,3.74,1.86,1.86
Graphite India,Engineering,2.23,4.42,0.00,1.63
Prestige Estates Projects,Construction,28.59,1.84,0.00,1.62
18. HSBC Infrastructure Equity Fund - Direct Plan
Larsen & Toubro,Construction,21.90,9.94,1.07,9.94
Adani Ports and Special Economic Zone,Services,18.69,7.77,3.62,7.77
Kei Industries,Engineering,21.85,8.99,2.36,6.86
NTPC,Energy,10.16,7.22,0.00,6.60
Reliance Industries,Energy,21.20,5.01,0.00,5.01
Deccan Cements,Construction,8.49,7.48,3.22,3.22
Srikalahasthi Pipes,Metals,6.12,8.12,0.00,3.07
Schaeffler India,Engineering,32.10,3.88,1.74,2.89
NCC,Construction,6.00,4.69,0.00,2.85
DLF,Construction,27.76,2.90,0.00,2.80
ACC,Construction,15.67,2.71,0.00,2.71
APL Apollo Tubes,Metals,21.91,2.75,0.00,2.68
HPCL,Energy,9.29,8.98,2.65,2.65
Gujarat Gas,Chemicals,23.47,2.59,0.00,2.59
Ultratech Cement,Construction,38.23,2.44,0.00,2.44
Sadbhav Engineering,Construction,14.59,3.65,0.00,2.44
KNR Constructions,Construction,13.59,3.73,2.19,2.26
Jindal Steel & Power,Metals,0.00,3.30,0.00,2.21
Sanghvi Movers,Construction,0.00,5.42,2.08,2.08
Carborundum Universal,Metals,24.30,2.14,0.00,2.07
Macpower CNC Machines,Engineering,7.76,2.56,0.00,1.92
Vedanta,Metals,7.91,2.14,0.00,1.91
Ahluwalia Contracts,Construction,18.17,3.74,1.86,1.86
Graphite India,Engineering,2.23,4.42,0.00,1.63
Prestige Estates Projects,Construction,28.59,1.84,0.00,1.62
19. HSBC Large and Mid Cap Equity Fund - Direct Plan
HDFC Bank,Financial,29.06,8.68,4.51,8.68
ICICI Bank,Financial,54.91,6.82,0.00,6.82
Reliance Industries,Energy,21.20,5.56,2.12,4.19
Larsen & Toubro,Construction,21.90,4.23,2.16,4.06
Kotak Mahindra Bank,Financial,37.66,3.88,0.00,3.88
Infosys,Technology,17.88,3.80,1.16,3.80
City Union Bank,Financial,21.80,3.27,0.64,3.27
Federal Bank,Financial,11.02,3.06,0.00,2.84
Apollo Hospitals,Healthcare,65.82,3.10,0.48,2.74
Axis Bank,Financial,45.64,4.41,0.00,2.69
Indian Hotels,Services,65.94,2.51,0.00,2.51
Crompton Greaves Consumer Electricals,Cons Durable,39.54,2.36,0.00,2.36
Asian Paints,Chemicals,65.80,3.15,0.70,2.35
Hindustan Unilever,FMCG,69.38,2.34,0.00,2.34
SBI Life Insurance Company,Financial,81.79,2.81,0.91,2.33
Voltas,Cons Durable,47.61,2.63,0.00,2.14
Ultratech Cement,Construction,38.23,2.05,0.00,2.05
MRF,Automobile,24.57,1.99,0.00,1.99
Torrent Pharmaceuticals,Healthcare,58.21,3.46,0.00,1.97
Prestige Estates Projects,Construction,28.59,2.13,0.00,1.97
Exide Industries,Engineering,17.70,2.05,0.00,1.84
Bharti Airtel,Communication,0.00,1.73,0.00,1.73
Bharat Electronics,Engineering,14.22,2.55,0.00,1.70
Cholamandalam Invest. & Fin.,Financial,18.51,1.69,0.00,1.69
ITC,FMCG,24.04,3.61,0.00,1.63
20. HSBC Large and Mid Cap Equity Fund - Regular Plan
HDFC Bank,Financial,29.06,8.68,4.51,8.68
ICICI Bank,Financial,54.91,6.82,0.00,6.82
Reliance Industries,Energy,21.20,5.56,2.12,4.19
Larsen & Toubro,Construction,21.90,4.23,2.16,4.06
Kotak Mahindra Bank,Financial,37.66,3.88,0.00,3.88
Infosys,Technology,17.88,3.80,1.16,3.80
City Union Bank,Financial,21.80,3.27,0.64,3.27
Federal Bank,Financial,11.02,3.06,0.00,2.84
Apollo Hospitals,Healthcare,65.82,3.10,0.48,2.74
Axis Bank,Financial,45.64,4.41,0.00,2.69
Indian Hotels,Services,65.94,2.51,0.00,2.51
Crompton Greaves Consumer Electricals,Cons Durable,39.54,2.36,0.00,2.36
Asian Paints,Chemicals,65.80,3.15,0.70,2.35
Hindustan Unilever,FMCG,69.38,2.34,0.00,2.34
SBI Life Insurance Company,Financial,81.79,2.81,0.91,2.33
Voltas,Cons Durable,47.61,2.63,0.00,2.14
Ultratech Cement,Construction,38.23,2.05,0.00,2.05
MRF,Automobile,24.57,1.99,0.00,1.99
